span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
81 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	81 año			81 años	81 anos	32276139_B_ES	32276139_B_ES	32276139_B_ES
8 de mayo	FECHAS	1	0.5	1	8 de mayo			8 de mayo	8 de mayo	32653906_ES	32653906_ES	32653906_ES
8 de febrero	FECHAS	1	0.5	1	8 de febrero			8 de febrero	8 de febrero	32119083_ES	32119083_ES	32119083_ES
8 de abril de 2020	FECHAS	1	0.5	1	8 de abril de 2020			8 de abril de 2020	8 de abril de 2020	32620682_ES	32620682_ES	32620682_ES
8 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	8 año			8 años	8 anos	32427645_ES	32427645_ES	32427645_ES
79 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	79 año			79 años	79 anos	32622819A_ES	32622819A_ES	32622819A_ES
78 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	78 año			78 años	78 anos	32351657_ES	32351657_ES	32351657_ES
76 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	76 año			76 años	76 anos	32637437­_ES	32637437­_ES	32637437­_ES
7 de mayo	FECHAS	1	0.5	1	7 de mayo			7 de mayo	7 de mayo	32638347B_ES	32638347B_ES	32638347B_ES
7 de marzo	FECHAS	1	0.5	1	7 de marzo			7 de marzo	7 de marzo	32359711_ES	32359711_ES	32359711_ES
7 de abril	FECHAS	1	0.5	1	7 de abril			7 de abril	7 de abril	32638347A_ES	32638347A_ES	32638347A_ES
7 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	7 año			7 años	7 anos	32653960_ES	32653960_ES	32653960_ES
67 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	67 año			67 años	67 anos	32637266A_ES	32637266A_ES	32637266A_ES
62 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	62 año			62 años	62 anos	32553608­B_ES	32553608­B_ES	32553608­B_ES
6 meses	EDAD-SUJETO-ASISTENCIA	1	0.5	1	6 mes			6 meses	6 meses	32265235_ES	32265235_ES	32265235_ES
6 de noviembre	FECHAS	1	0.5	1	6 de noviembre			6 de noviembre	6 de noviembre	32294258_ES	32294258_ES	32294258_ES
6 de mayo de 2020	FECHAS	1	0.5	1	6 de mayo de 2020			6 de mayo de 2020	6 de mayo de 2020	32620682_ES	32620682_ES	32620682_ES
6 de mayo	FECHAS	1	0.5	1	6 de mayo			6 de mayo	6 de mayo	32638347C_ES	32638347C_ES	32638347C_ES
6 de abril de 2020	FECHAS	1	0.5	1	6 de abril de 2020			6 de abril de 2020	6 de abril de 2020	32614251_ES	32614251_ES	32614251_ES
5 meses	EDAD-SUJETO-ASISTENCIA	1	0.5	1	5 mes			5 meses	5 meses	32423738_ES	32423738_ES	32423738_ES
5 de mayo	FECHAS	1	0.5	1	5 de mayo			5 de mayo	5 de mayo	32653906_ES	32653906_ES	32653906_ES
5 de marzo	FECHAS	1	0.5	1	5 de marzo			5 de marzo	5 de marzo	32276139_ES	32276139_ES	32276139_ES
5 de febrero de 2020	FECHAS	1	0.5	1	5 de febrero de 2020			5 de febrero de 2020	5 de febrero de 2020	32165205_ES	32165205_ES	32165205_ES
5 de abril de 2020	FECHAS	1	0.5	1	5 de abril de 2020			5 de abril de 2020	5 de abril de 2020	32614251_ES	32614251_ES	32614251_ES
5 de abril	FECHAS	1	0.5	1	5 de abril			5 de abril	5 de abril	32638347B_ES	32638347B_ES	32638347B_ES
47 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	47 año			47 años	47 anos	32276139_ES	32276139_ES	32276139_ES
45 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	45 año			45 años	45 anos	32363336_ES	32363336_ES	32363336_ES
