span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
lipasa	PROTEINAS	1	0.5	1	lipasa	259321008, 72993008	C0023764, C0023764	lipasa	lipasa	32653960_ES
liberacion	PROTEINAS	1	0.5	1	liberación			liberación	liberación	32247642_ES
interleucina 8	PROTEINAS	1	0.5	1	interleucina 8	707613004	C0383327	interleucina 8	interleucina 8	32418288_ES
interleucina	PROTEINAS	1	0.5	1	interleucina	38476002	C0021764	interleucina	interleucina	32222713_ES
interferon humano recombinante	PROTEINAS	1	0.5	1	interferón humano recombinante			interferón humano recombinante	interferón humano recombinante	32073161_ES
interferon gamma	PROTEINAS	1	0.5	1	interferón gamma			interferón gamma	interferón gamma	32590204_ES
interferon beta 1a	PROTEINAS	1	0.5	1	interferón beta 1 a			interferón beta 1-a	interferón beta 1a	32644205_ES
interferon beta 12	PROTEINAS	1	0.5	1	interferón beta 12			interferón beta 1-2	interferón beta 12	32644205_ES
interferon beta	PROTEINAS	1	0.5	1	interferón beta			interferón beta	interferón beta	32622483_ES
interferon alfa2b	PROTEINAS	1	0.5	1	interferón alfa2b			interferón alfa-2b	interferón alfa2b	32085846_ES
interferon 	PROTEINAS	2	1.0	1	interferón α			interferón α	interferón α	32073161_ES, 32198834_ES
insulina glargina	PROTEINAS	1	0.5	1	insulina glargino	411529005	C0907402	insulina glargina	insulina glargina	32631645_ES
inmunoglobulina humana	PROTEINAS	1	0.5	1	inmunoglobulina humano	420084002	C0358321	inmunoglobulina humana	inmunoglobulina humana	32208010_ES
inhibidor 25	PROTEINAS	1	0.5	1	inhibidor 25			inhibidor 25	inhibidor 25	32401344_ES
il8	PROTEINAS	1	0.5	1	il8			IL-8	il8	32418288_ES
igm	PROTEINAS	1	0.5	1	igm			Ig)M	igm	32179908_ES
hormona estimuladora	PROTEINAS	1	0.5	1	hormona estimulador			hormona estimuladora	hormona estimuladora	32639064_ES
hormona antidiuretica	PROTEINAS	1	0.5	1	hormona antidiurético			hormona antidiurética	hormona antidiurética	32639064_ES
hku1	PROTEINAS	1	0.5	1	hku1			HKU1	hku1	32427645_ES
hiperuremia	PROTEINAS	1	0.5	1	hiperuremia			hiperuremia	hiperuremia	32638890_ES
hiperproteinorraquia	PROTEINAS	1	0.5	1	hiperproteinorraquia			hiperproteinorraquia	hiperproteinorraquia	32418288_ES
hemoglobinemia	PROTEINAS	1	0.5	1	hemoglobinemia	123767004	C0235573	hemoglobinemia	hemoglobinemia	32638890_ES
hba1c	PROTEINAS	1	0.5	1	hba1c	33601001	C0019018	HbA1c	hba1c	32653960_ES
glutamiltransferasa	PROTEINAS	1	0.5	1	glutamiltransferasa	312204001	C0678107	glutamil-transferasa	glutamiltransferasa	32611659_ES
glucohemoglobina	PROTEINAS	1	0.5	1	glucohemoglobina	259689004	C0017853	glucohemoglobina	glucohemoglobina	32168162_ES
gen S	PROTEINAS	1	0.5	1	gen S			gen S	gen S	32614251_ES
galactomanano	PROTEINAS	1	0.5	1	galactomanano			galactomanano	galactomanano	32619736_ES
gad65a	PROTEINAS	1	0.5	1	gad65a			GAD-65A	gad65a	32653960_ES
gabaar	PROTEINAS	1	0.5	1	gabaar			GABAAR	gabaar	32418288_ES
gGT	PROTEINAS	1	0.5	1	ggt			gGT	gGT	32653960_ES
fosfocinasa	PROTEINAS	1	0.5	1	fosfocinasa	124395009, 130094000	C0031727, C1150423	fosfocinasa	fosfocinasa	32587121_ES
fibrina	PROTEINAS	1	0.5	1	fibrina	113361004	C0015982	fibrina	fibrina	32638890_ES
factor viii	PROTEINAS	1	0.5	1	factor viii	278910002	C0015506	factor VIII	factor viii	32401344_ES
factor reumatoide	PROTEINAS	1	0.5	1	factor reumatoide	77089006	C0035448	factor reumatoide	factor reumatoide	32588475_ES
factor de necrosis tumoral alfa	PROTEINAS	1	0.5	1	factor de necrosis tumoral alfa	8612007	C1456820	factor de necrosis tumoral alfa	factor de necrosis tumoral alfa	32418288_ES
factor antixa	PROTEINAS	1	0.5	1	factor antixa			factor anti-Xa	factor antixa	32589931_ES
factor VII activado	PROTEINAS	1	0.5	1	factor VII activar			factor VII activado	factor VII activado	32401344_ES
factor 4	PROTEINAS	1	0.5	1	factor 4			factor 4	factor 4	32294340_ES
dppx	PROTEINAS	1	0.5	1	dppx			DPPX	dppx	32651243_ES
dimerod	PROTEINAS	1	0.5	1	dímerod			dímero-D	dímerod	32618794_ES
deshidrogenasa	PROTEINAS	1	0.5	1	deshidrogenasa	129919009, 124225003, 736206000	C0030016, C0030016, C4521774	deshidrogenasa	deshidrogenasa	32425356_ES
crioglobulinas	PROTEINAS	1	0.5	1	crioglobulina	18819001	C0010404	crioglobulinas	crioglobulinas	32588475_ES
creatinafosfocinasa	PROTEINAS	1	0.5	1	creatinafosfocinasa	75828004	C0010287	creatina-fosfocinasa	creatinafosfocinasa	32593338_ES
citrulinado anticuerpos	PROTEINAS	1	0.5	1	citrulinar anticuerpo			citrulinado anticuerpos	citrulinado anticuerpos	32635747_ES
ch50	PROTEINAS	1	0.5	1	ch50			CH50	ch50	32635747_ES
cd3cd8	PROTEINAS	1	0.5	1	cd3cd8			CD3+CD8	cd3cd8	32292053_ES
cd3cd4	PROTEINAS	1	0.5	1	cd3cd4			CD3+CD4	cd3cd4	32292053_ES
cd3cd19	PROTEINAS	1	0.5	1	cd3cd19			CD3?CD19	cd3cd19	32292053_ES
caspofungina	PROTEINAS	1	0.5	1	caspofungina	413770001	C0537894	caspofungina	caspofungina	32619736_ES
c5b9	PROTEINAS	1	0.5	1	c5b9			C5b9	c5b9	32585767_ES
c3c4	PROTEINAS	1	0.5	1	c3c4			C3-C4	c3c4	32635747_ES
betahidroxibutirato	PROTEINAS	1	0.5	1	betahidroxibutirato			beta-hidroxibutirato	betahidroxibutirato	32363336-B_ES
beta pancreaticas	PROTEINAS	1	0.5	1	beta pancreático			beta pancreáticas	beta pancreáticas	32653960_ES
babinski	PROTEINAS	1	0.5	1	babinski			Babinski	babinski	32653906_ES
aspartatotransaminasa	PROTEINAS	1	0.5	1	aspartatotransaminasa			aspartato-transaminasa	aspartatotransaminasa	32605766_ES
aspartatoaminotransferasa	PROTEINAS	11	5.5	1	aspartatoaminotransferasa –	26091008	C0004002	aspartato-aminotransferasa–	aspartatoaminotransferasa–	32363336_ES, 32329981_ES, 32586752_ES, 32617169_ES, 32414534_ES, 32611659_ES, 32427161_ES, 32637437­_ES, 32292054_ES, 32032497_ES, 32161941_ES
asparaginaaminotransferasa	PROTEINAS	1	0.5	1	asparaginaaminotransferasa			asparagina-aminotransferasa	asparaginaaminotransferasa	32636116_ES
aptt	PROTEINAS	1	0.5	1	aptt			APTT	aptt	32588475_ES
antixa	PROTEINAS	1	0.5	1	antixa			anti-Xa	antixa	32589931_ES
antitransportador de zinc8	PROTEINAS	1	0.5	1	antitransportador de zinc8			anti-transportador de zinc-8	antitransportador de zinc8	32653960_ES
antigmo	PROTEINAS	1	0.5	1	antigmo			anti-GMO	antigmo	32418288_ES
antigenos treponemicos	PROTEINAS	1	0.5	1	antígeno treponémico			antígenos treponémicos	antígenos treponémicos	32352486_ES
antigenos neuronales intracelulares	PROTEINAS	1	0.5	1	antígeno neuronal intracelular			antígenos neuronales intracelulares	antígenos neuronales intracelulares	32651243_ES
antigenos de criptococo	PROTEINAS	1	0.5	1	antígeno de criptococo			antígenos de criptococo	antígenos de criptococo	32586752_ES
antigeno de galactomanano	PROTEINAS	1	0.5	1	antígeno de galactomanano			antígeno de galactomanano	antígeno de galactomanano	32619736_ES
antigeno A	PROTEINAS	1	0.5	1	antígeno A			antígeno A	antígeno A	32292867_ES
antidescarboxilasa65 del acido glutamico	PROTEINAS	1	0.5	1	antidescarboxilasa65 de+el ácido glutámico			anti-descarboxilasa-65 del ácido glutámico	antidescarboxilasa65 del ácido glutámico	32653960_ES
anticuerpos viricos	PROTEINAS	1	0.5	1	anticuerpo vírico			anticuerpos víricos	anticuerpos víricos	32168162_ES
